period,subba,subba-name,parent,parent-name,value,value-units
2024-03-29T22,ZONJ,New York City,NYIS,New York Independent System Operator,5408,megawatthours
2024-03-29T21,ZONJ,New York City,NYIS,New York Independent System Operator,5338,megawatthours
2024-03-29T20,ZONJ,New York City,NYIS,New York Independent System Operator,5276,megawatthours
2024-03-29T19,ZONJ,New York City,NYIS,New York Independent System Operator,5260,megawatthours
2024-03-29T18,ZONJ,New York City,NYIS,New York Independent System Operator,5292,megawatthours
2024-03-29T17,ZONJ,New York City,NYIS,New York Independent System Operator,5340,megawatthours
2024-03-29T16,ZONJ,New York City,NYIS,New York Independent System Operator,5363,megawatthours
2024-03-29T15,ZONJ,New York City,NYIS,New York Independent System Operator,5385,megawatthours
2024-03-29T14,ZONJ,New York City,NYIS,New York Independent System Operator,5399,megawatthours
2024-03-29T13,ZONJ,New York City,NYIS,New York Independent System Operator,5341,megawatthours
2024-03-29T12,ZONJ,New York City,NYIS,New York Independent System Operator,5087,megawatthours
2024-03-29T11,ZONJ,New York City,NYIS,New York Independent System Operator,4728,megawatthours
2024-03-29T10,ZONJ,New York City,NYIS,New York Independent System Operator,4373,megawatthours
2024-03-29T09,ZONJ,New York City,NYIS,New York Independent System Operator,4194,megawatthours
2024-03-29T08,ZONJ,New York City,NYIS,New York Independent System Operator,4171,megawatthours
2024-03-29T07,ZONJ,New York City,NYIS,New York Independent System Operator,4232,megawatthours
2024-03-29T06,ZONJ,New York City,NYIS,New York Independent System Operator,4354,megawatthours
2024-03-29T05,ZONJ,New York City,NYIS,New York Independent System Operator,4540,megawatthours
2024-03-29T04,ZONJ,New York City,NYIS,New York Independent System Operator,4793,megawatthours
2024-03-29T03,ZONJ,New York City,NYIS,New York Independent System Operator,5086,megawatthours
2024-03-29T02,ZONJ,New York City,NYIS,New York Independent System Operator,5341,megawatthours
2024-03-29T01,ZONJ,New York City,NYIS,New York Independent System Operator,5540,megawatthours
2024-03-29T00,ZONJ,New York City,NYIS,New York Independent System Operator,5694,megawatthours
2024-03-28T23,ZONJ,New York City,NYIS,New York Independent System Operator,5761,megawatthours
2024-03-28T22,ZONJ,New York City,NYIS,New York Independent System Operator,5872,megawatthours
2024-03-28T21,ZONJ,New York City,NYIS,New York Independent System Operator,5889,megawatthours
2024-03-28T20,ZONJ,New York City,NYIS,New York Independent System Operator,5856,megawatthours
2024-03-28T19,ZONJ,New York City,NYIS,New York Independent System Operator,5821,megawatthours
2024-03-28T18,ZONJ,New York City,NYIS,New York Independent System Operator,5875,megawatthours
2024-03-28T17,ZONJ,New York City,NYIS,New York Independent System Operator,5883,megawatthours
2024-03-28T16,ZONJ,New York City,NYIS,New York Independent System Operator,5852,megawatthours
2024-03-28T15,ZONJ,New York City,NYIS,New York Independent System Operator,5796,megawatthours
2024-03-28T14,ZONJ,New York City,NYIS,New York Independent System Operator,5728,megawatthours
2024-03-28T13,ZONJ,New York City,NYIS,New York Independent System Operator,5512,megawatthours
2024-03-28T12,ZONJ,New York City,NYIS,New York Independent System Operator,5196,megawatthours
2024-03-28T11,ZONJ,New York City,NYIS,New York Independent System Operator,4771,megawatthours
2024-03-28T10,ZONJ,New York City,NYIS,New York Independent System Operator,4338,megawatthours
2024-03-28T09,ZONJ,New York City,NYIS,New York Independent System Operator,4140,megawatthours
2024-03-28T08,ZONJ,New York City,NYIS,New York Independent System Operator,4116,megawatthours
2024-03-28T07,ZONJ,New York City,NYIS,New York Independent System Operator,4161,megawatthours
2024-03-28T06,ZONJ,New York City,NYIS,New York Independent System Operator,4259,megawatthours
